Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales
Office Supplies,Cincinnati,United States,MC-17575,Matt Collins,0.7,2018-02-03 0:00,CA-2018-167703,45231,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,-4.1832,3,East,1321,Consumer,2018-02-08 0:00,Standard Class,Ohio,Binders,USD8
Office Supplies,Philadelphia,United States,TS-21160,Theresa Swint,0.7,2015-04-23 0:00,US-2015-112564,19134,OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,-1.7514,3,East,1449,Corporate,2015-04-24 0:00,First Class,Pennsylvania,Binders,USD74
Office Supplies,Cleveland,United States,AS-10240,Alan Shonely,0.7,2018-06-21 0:00,CA-2018-101049,44105,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,-34.38,6,East,1630,Consumer,2018-06-25 0:00,Second Class,Ohio,Binders,USD17
Office Supplies,Philadelphia,United States,SF-20200,Sarah Foster,0.7,2016-09-26 0:00,CA-2016-120341,19143,OFF-BI-10004224,Catalog Binders with Expanding Posts,-100.92,6,East,1649,Consumer,2016-09-29 0:00,Second Class,Pennsylvania,Binders,USD36
Office Supplies,Philadelphia,United States,QJ-19255,Quincy Jones,0.7,2018-04-30 0:00,CA-2018-144526,19143,OFF-BI-10002353,GBC VeloBind Cover Sets,-9.264,3,East,1663,Corporate,2018-05-06 0:00,Standard Class,Pennsylvania,Binders,USD138
Technology,Philadelphia,United States,SB-20290,Sean Braxton,0.7,2015-09-07 0:00,CA-2015-122882,19134,TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,-559.356,4,East,1682,Corporate,2015-09-13 0:00,Standard Class,Pennsylvania,Machines,USD464
Office Supplies,Philadelphia,United States,DK-12835,Damala Kotsonis,0.7,2018-04-24 0:00,CA-2018-149489,19143,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,-0.99,2,East,1686,Corporate,2018-04-27 0:00,First Class,Pennsylvania,Binders,USD120
Office Supplies,Philadelphia,United States,DK-12835,Damala Kotsonis,0.7,2018-04-24 0:00,CA-2018-149489,19143,OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,-5.7638,2,East,1687,Corporate,2018-04-27 0:00,First Class,Pennsylvania,Binders,USD238
Office Supplies,Philadelphia,United States,IM-15070,Irene Maddox,0.7,2016-11-22 0:00,CA-2016-100545,19120,OFF-BI-10003638,GBC Durable Plastic Covers,-9.288,2,East,1706,Consumer,2016-11-26 0:00,Standard Class,Pennsylvania,Binders,USD357
Office Supplies,Philadelphia,United States,JA-15970,Joseph Airdo,0.7,2018-09-22 0:00,CA-2018-158379,19134,OFF-BI-10002498,Clear Mylar Reinforcing Strips,-4.2987,1,East,1803,Consumer,2018-09-26 0:00,Second Class,Pennsylvania,Binders,USD45
Office Supplies,Philadelphia,United States,CB-12415,Christy Brittain,0.7,2018-02-24 0:00,CA-2018-111374,19134,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",-3.7996,4,East,1992,Consumer,2018-02-28 0:00,Standard Class,Pennsylvania,Binders,USD35
Office Supplies,Philadelphia,United States,CK-12595,Clytie Kelty,0.7,2016-07-11 0:00,CA-2016-142237,19134,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,-2.0016,3,East,2050,Consumer,2016-07-13 0:00,First Class,Pennsylvania,Binders,USD90
Office Supplies,Philadelphia,United States,CK-12595,Clytie Kelty,0.7,2016-07-11 0:00,CA-2016-142237,19134,OFF-BI-10003669,3M Organizer Strips,-4.752,4,East,2051,Consumer,2016-07-13 0:00,First Class,Pennsylvania,Binders,USD480
Office Supplies,Philadelphia,United States,CC-12610,Corey Catlett,0.7,2017-07-21 0:00,CA-2017-146521,19134,OFF-BI-10000301,GBC Instant Report Kit,-1.294,1,East,2071,Corporate,2017-07-23 0:00,Second Class,Pennsylvania,Binders,USD1071
Office Supplies,Philadelphia,United States,WB-21850,William Brown,0.7,2016-11-30 0:00,CA-2016-122210,19134,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-122.3928,3,East,2134,Consumer,2016-12-04 0:00,Standard Class,Pennsylvania,Binders,USD177
Office Supplies,York,United States,TS-21160,Theresa Swint,0.7,2017-06-25 0:00,US-2017-152051,17403,OFF-BI-10004781,GBC Wire Binding Strips,-27.9312,4,East,2147,Corporate,2017-06-29 0:00,Standard Class,Pennsylvania,Binders,USD38.08
Office Supplies,Columbus,United States,RF-19840,Roy Franz”sisch,0.7,2018-04-16 0:00,CA-2018-136497,43229,OFF-BI-10001553,SpineVue Locking Slant-D Ring Binders by Cardinal,-10.054,5,East,2363,Consumer,2018-04-20 0:00,Standard Class,Ohio,Binders,USD13.71
Office Supplies,Columbus,United States,MS-17770,Maxwell Schwartz,0.7,2015-08-19 0:00,US-2015-164616,43229,OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,-58.8616,4,East,2377,Consumer,2015-08-21 0:00,Second Class,Ohio,Binders,USD76.77
Office Supplies,Fairfield,United States,SV-20935,Susan Vittorini,0.7,2018-12-25 0:00,US-2018-147669,45014,OFF-BI-10000632,Satellite Sectional Post Binders,-10.4184,1,East,2425,Consumer,2018-12-30 0:00,Standard Class,Ohio,Binders,USD13.02
Technology,Springfield,United States,SB-20290,Sean Braxton,0.7,2018-11-13 0:00,US-2018-165344,45503,TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,-935.9595,7,East,2629,Corporate,2018-11-15 0:00,First Class,Ohio,Machines,USD652.99
Office Supplies,Springfield,United States,SB-20290,Sean Braxton,0.7,2018-11-13 0:00,US-2018-165344,45503,OFF-BI-10003196,Accohide Poly Flexible Ring Binders,-7.48,10,East,2630,Corporate,2018-11-15 0:00,First Class,Ohio,Binders,USD11.22
Office Supplies,Philadelphia,United States,CM-12160,Charles McCrossin,0.7,2018-12-04 0:00,CA-2018-156412,19134,OFF-BI-10004364,Storex Dura Pro Binders,-4.455,3,East,2691,Consumer,2018-12-08 0:00,Standard Class,Pennsylvania,Binders,USD5.34
Office Supplies,Toledo,United States,SK-19990,Sally Knutson,0.7,2018-12-22 0:00,CA-2018-119193,43615,OFF-BI-10000848,Angle-D Ring Binders,-1.3128,1,East,2728,Consumer,2018-12-24 0:00,First Class,Ohio,Binders,USD1.64
Office Supplies,Philadelphia,United States,PL-18925,Paul Lucas,0.7,2018-06-22 0:00,CA-2018-165757,19140,OFF-BI-10003166,GBC Plasticlear Binding Covers,-7.5768,3,East,2764,Home Office,2018-06-28 0:00,Standard Class,Pennsylvania,Binders,USD10.33
Office Supplies,Philadelphia,United States,PL-18925,Paul Lucas,0.7,2018-06-22 0:00,CA-2018-165757,19140,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,-23.8855,5,East,2765,Home Office,2018-06-28 0:00,Standard Class,Pennsylvania,Binders,USD31.15
Office Supplies,Springfield,United States,SH-20395,Shahid Hopkins,0.7,2018-05-04 0:00,CA-2018-168900,45503,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,-1.9275,1,East,2958,Consumer,2018-05-09 0:00,Standard Class,Ohio,Binders,USD2.31
Technology,Philadelphia,United States,NW-18400,Natalie Webber,0.7,2015-06-21 0:00,CA-2015-138317,19120,TEC-MA-10004521,Epson Perfection V600 Photo Scanner,-172.4925,3,East,3000,Consumer,2015-06-25 0:00,Standard Class,Pennsylvania,Machines,USD206.99
Office Supplies,Philadelphia,United States,NW-18400,Natalie Webber,0.7,2015-06-21 0:00,CA-2015-138317,19120,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",-7.2048,2,East,3002,Consumer,2015-06-25 0:00,Standard Class,Pennsylvania,Binders,USD9.00
Office Supplies,Columbus,United States,JP-16135,Julie Prescott,0.7,2017-12-08 0:00,CA-2017-124562,43229,OFF-BI-10001267,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",-9.5018,7,East,3104,Home Office,2017-12-12 0:00,Standard Class,Ohio,Binders,USD12.95
Technology,Newark,United States,NF-18385,Natalie Fritzler,0.7,2016-12-15 0:00,CA-2016-147830,43055,TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,-2639.9912,2,East,3152,Consumer,2016-12-18 0:00,First Class,Ohio,Machines,USD1799.99
Office Supplies,Fairfield,United States,AF-10885,Art Foster,0.7,2015-09-12 0:00,CA-2015-103702,45014,OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",-46.8776,7,East,3285,Consumer,2015-09-17 0:00,Standard Class,Ohio,Binders,USD63.92
Office Supplies,Philadelphia,United States,CS-11950,Carlos Soltero,0.7,2015-11-18 0:00,US-2015-159926,19140,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-40.7976,1,East,3300,Consumer,2015-11-22 0:00,Standard Class,Pennsylvania,Binders,USD50.99
Office Supplies,Philadelphia,United States,CS-11950,Carlos Soltero,0.7,2015-11-18 0:00,US-2015-159926,19140,OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,-1.4256,3,East,3304,Consumer,2015-11-22 0:00,Standard Class,Pennsylvania,Binders,USD1.94
Office Supplies,Columbus,United States,LB-16795,Laurel Beltran,0.7,2015-04-23 0:00,US-2015-150119,43229,OFF-BI-10000145,Zipper Ring Binder Pockets,-5.2416,8,East,3408,Home Office,2015-04-27 0:00,Standard Class,Ohio,Binders,USD7.48
Office Supplies,Philadelphia,United States,AS-10090,Adam Shillingsburg,0.7,2018-09-16 0:00,CA-2018-136448,19143,OFF-BI-10002393,Binder Posts,-2.7552,2,East,3459,Consumer,2018-09-18 0:00,First Class,Pennsylvania,Binders,USD3.44
Office Supplies,Philadelphia,United States,AS-10090,Adam Shillingsburg,0.7,2018-09-16 0:00,CA-2018-136448,19143,OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,-412.6154,2,East,3460,Consumer,2018-09-18 0:00,First Class,Pennsylvania,Binders,USD538.19
Office Supplies,Philadelphia,United States,FH-14275,Frank Hawley,0.7,2018-11-23 0:00,CA-2018-107832,19120,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-5.9808,1,East,3554,Corporate,2018-11-26 0:00,Second Class,Pennsylvania,Binders,USD7.47
Office Supplies,Akron,United States,MD-17350,Maribeth Dona,0.7,2018-09-04 0:00,CA-2018-109757,44312,OFF-BI-10004001,GBC Recycled VeloBinder Covers,-20.448,5,East,3562,Consumer,2018-09-09 0:00,Second Class,Ohio,Binders,USD25.55
Office Supplies,Akron,United States,MD-17350,Maribeth Dona,0.7,2018-09-04 0:00,CA-2018-109757,44312,OFF-BI-10001634,Wilson Jones Active Use Binders,-3.0576,2,East,3563,Consumer,2018-09-09 0:00,Second Class,Ohio,Binders,USD4.36
Office Supplies,Toledo,United States,NZ-18565,Nick Zandusky,0.7,2017-09-11 0:00,CA-2017-164154,43615,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-17.9424,3,East,3594,Home Office,2017-09-17 0:00,Standard Class,Ohio,Binders,USD22.42
Office Supplies,Philadelphia,United States,JC-15340,Jasper Cacioppo,0.7,2017-09-05 0:00,CA-2017-154536,19120,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",-7.3255,5,East,3617,Consumer,2017-09-09 0:00,Standard Class,Pennsylvania,Binders,USD9.55
Office Supplies,Springfield,United States,PP-18955,Paul Prost,0.7,2017-11-10 0:00,CA-2017-145177,45503,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,-46.592,7,East,3642,Home Office,2017-11-14 0:00,Standard Class,Ohio,Binders,USD69.88
Office Supplies,Troy,United States,EH-14125,Eugene Hildebrand,0.7,2017-04-08 0:00,CA-2017-104969,45373,OFF-BI-10004224,Catalog Binders with Expanding Posts,-100.92,6,East,3674,Home Office,2017-04-14 0:00,Standard Class,Ohio,Binders,USD121.10
Office Supplies,Columbus,United States,TC-21535,Tracy Collins,0.7,2018-12-26 0:00,CA-2018-112487,43229,OFF-BI-10000494,Acco Economy Flexible Poly Round Ring Binder,-2.61,2,East,3786,Home Office,2018-12-30 0:00,Standard Class,Ohio,Binders,USD3.13
Office Supplies,Altoona,United States,BT-11395,Bill Tyler,0.7,2016-02-27 0:00,CA-2016-111325,16602,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-3.3879,3,East,3792,Corporate,2016-02-28 0:00,First Class,Pennsylvania,Binders,USD4.41
Office Supplies,Philadelphia,United States,VT-21700,Valerie Takahito,0.7,2016-04-05 0:00,CA-2016-167010,19143,OFF-BI-10002072,Cardinal Slant-D Ring Binders,-6.952,4,East,3906,Home Office,2016-04-10 0:00,Standard Class,Pennsylvania,Binders,USD10.42
Office Supplies,Lorain,United States,JM-15655,Jim Mitchum,0.7,2017-12-12 0:00,US-2017-108777,44052,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,-14.3313,3,East,4035,Corporate,2017-12-12 0:00,Same Day,Ohio,Binders,USD18.69
Office Supplies,Philadelphia,United States,SW-20245,Scot Wooten,0.7,2016-12-05 0:00,CA-2016-101091,19140,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",-19.9824,6,East,4158,Consumer,2016-12-09 0:00,Second Class,Pennsylvania,Binders,USD26.06
Office Supplies,Philadelphia,United States,CJ-12010,Caroline Jumper,0.7,2017-12-03 0:00,US-2017-161683,19134,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",-14.5536,4,East,4199,Consumer,2017-12-08 0:00,Standard Class,Pennsylvania,Binders,USD18.19
Office Supplies,Philadelphia,United States,DM-13015,Darrin Martin,0.7,2018-11-03 0:00,CA-2018-110429,19143,OFF-BI-10000216,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",-7.782,3,East,4264,Consumer,2018-11-08 0:00,Standard Class,Pennsylvania,Binders,USD11.67
Office Supplies,Akron,United States,KB-16315,Karl Braun,0.7,2016-02-14 0:00,US-2016-147662,44312,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,-11.9616,2,East,4322,Consumer,2016-02-19 0:00,Standard Class,Ohio,Binders,USD14.95
Office Supplies,Akron,United States,KB-16315,Karl Braun,0.7,2016-02-14 0:00,US-2016-147662,44312,OFF-BI-10002160,Acco Hanging Data Binders,-1.6764,2,East,4324,Consumer,2016-02-19 0:00,Standard Class,Ohio,Binders,USD2.28
Office Supplies,Springfield,United States,SW-20245,Scot Wooten,0.7,2015-07-20 0:00,CA-2015-142965,45503,OFF-BI-10000977,Ibico Plastic Spiral Binding Combs,-21.888,3,East,4396,Consumer,2015-07-20 0:00,Same Day,Ohio,Binders,USD27.35
Office Supplies,Columbus,United States,EC-14050,Erin Creighton,0.7,2015-12-17 0:00,CA-2015-139633,43229,OFF-BI-10002954,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,-4.0216,4,East,4420,Consumer,2015-12-24 0:00,Standard Class,Ohio,Binders,USD5.48
Office Supplies,Philadelphia,United States,GW-14605,Giulietta Weimer,0.7,2018-12-02 0:00,CA-2018-155075,19140,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,-462.8624,4,East,4498,Consumer,2018-12-09 0:00,Standard Class,Pennsylvania,Binders,USD631.17
Office Supplies,Philadelphia,United States,GB-14530,George Bell,0.7,2017-08-29 0:00,CA-2017-159912,19120,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,-2.7888,2,East,4686,Corporate,2017-09-03 0:00,Standard Class,Pennsylvania,Binders,USD3.48
Office Supplies,Lancaster,United States,BP-11155,Becky Pak,0.7,2018-03-30 0:00,US-2018-154851,17602,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-4.7625,5,East,4689,Consumer,2018-04-03 0:00,Standard Class,Pennsylvania,Binders,USD5.71
Office Supplies,Philadelphia,United States,JO-15280,Jas O'Carroll,0.7,2015-03-31 0:00,CA-2015-112403,19120,OFF-BI-10003529,Avery Round Ring Poly Binders,-0.5964,1,East,4712,Consumer,2015-03-31 0:00,Same Day,Pennsylvania,Binders,USD0.85
Office Supplies,Philadelphia,United States,EB-13870,Emily Burns,0.7,2018-09-21 0:00,CA-2018-169817,19143,OFF-BI-10004141,Insertable Tab Indexes For Data Binders,-1.5264,2,East,4757,Consumer,2018-09-25 0:00,Standard Class,Pennsylvania,Binders,USD1.90
Technology,Columbus,United States,CK-12205,Chloris Kastensmidt,0.7,2017-11-21 0:00,CA-2017-140018,43229,TEC-MA-10000752,Texas Instrument TI-15 Fraction Calculator,-24.276,7,East,4824,Consumer,2017-11-26 0:00,Standard Class,Ohio,Machines,USD30.34
Office Supplies,Dublin,United States,FH-14350,Fred Harton,0.7,2018-06-01 0:00,CA-2018-106831,43017,OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-2.6586,2,East,4838,Consumer,2018-06-03 0:00,First Class,Ohio,Binders,USD3.79
Office Supplies,Bowling Green,United States,NM-18520,Neoma Murray,0.7,2017-12-23 0:00,CA-2017-136049,43402,OFF-BI-10001267,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",-4.0722,3,East,4842,Consumer,2017-12-28 0:00,Standard Class,Ohio,Binders,USD5.55
Office Supplies,Fairfield,United States,MS-17530,MaryBeth Skach,0.7,2015-11-18 0:00,CA-2015-133809,45014,OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,-8.6592,8,East,4908,Consumer,2015-11-23 0:00,Second Class,Ohio,Binders,USD11.80
Office Supplies,Philadelphia,United States,LR-17035,Lisa Ryan,0.7,2016-09-07 0:00,CA-2016-102876,19134,OFF-BI-10004781,GBC Wire Binding Strips,-6.9828,1,East,5009,Corporate,2016-09-14 0:00,Standard Class,Pennsylvania,Binders,USD9.52
Office Supplies,Philadelphia,United States,LR-17035,Lisa Ryan,0.7,2016-09-07 0:00,CA-2016-102876,19134,OFF-BI-10000848,Angle-D Ring Binders,-3.9384,3,East,5011,Corporate,2016-09-14 0:00,Standard Class,Pennsylvania,Binders,USD4.92
Office Supplies,Cleveland,United States,SW-20350,Sean Wendt,0.7,2018-07-21 0:00,US-2018-160465,44105,OFF-BI-10001670,Vinyl Sectional Post Binders,-22.62,3,East,5013,Home Office,2018-07-26 0:00,Standard Class,Ohio,Binders,USD33.93
Office Supplies,Philadelphia,United States,CS-11950,Carlos Soltero,0.7,2017-04-03 0:00,CA-2017-120796,19140,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",-83.205,9,East,5059,Consumer,2017-04-07 0:00,Standard Class,Pennsylvania,Binders,USD99.84
